company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
ACUFOCUS INC,Biotechnology,acufocus.com,IRVINE,CA,92618-3161,(949) 585-9511,,,"Alan Waterhouse, Gloria Sefton, James V. Mazzo, Jason Tester, Jason V. Tester","Ali J. Satvat, Arjun J. Arora, Buzz Benson, Buzz V. Benson, Charles Larsen, Charles M. Warden, Charles V. Larsen, Conrad Wang, James Garvey, James V. Garvey, Richard L. Lindstrom, M.D., Ryan M. Schwarz, William J. Link",137119722,26000000,Series B,08-08-2018,,,,,,BLSurgCustSvc@Bausch.com
ACUITY POLYMERS INC,Other,acuitypolymers.com,ROCHESTER,NY,14615,(585) 270-8354,2016,9,"Daniel Bell, James Bonafini, Jonathan Jacobson","George Glady, Tatsuo Harata",3333000,2000000,Pre-Seed,05-07-2018,,,,,,info@acuitypolymers.com
ACURASTEM INC,Biotechnology,acurastem.com,MONROVIA,CA,91016-6352,(213) 290-0635,2016,9,"Justin Ichida, Qing Liu-Michael, Samuel Alworth","Justin Ichida, Paul August, Qing Liu-Michael",9610332,3110332,Seed,21-11-2022,,,,,,info@acurastem.com
ACV AUCTIONS INC,Other Technology,acvauctions.com,BUFFALO,NY,14203,(585) 317-0406,2014,11,"Daniel K. Magnuszewski, Daniel K. Manguszewski, George S. Chamoun, John Louis Greco, Joseph S. Neiman","Brian S. Hirsch, Jordan S. Levy, Robert S. Goodman, Ronald M. Schreiber",134999999,99999999,Series C,06-12-2018,22,0,100,67205,['Machine Learning Engineer III'],arbitration@acvauctions.com; titles@acvauctions.com; press@acvauctions.com; acvadvance@acvauctions.com; payments@acvauctions.com; transport@acvauctions.com
ACUSHNET HOLDINGS CORP,Manufacturing,acushnet.com,FAIRHAVEN,MA,2719,(800) 225-8500,,,"David Maher, Dennis Lou Doherty, James Lou Connor, Joseph Lou Nauman, Steve Lou Pelisek","Jung-Hun Lou Ryu, Keun Chang Yoon, Sungwoo Lou Ahn, Yong-Kyu Lou Shin, Yoon Soo Lou Yoon",45000000,45000000,Series C,15-06-2016,,,,,,support@q4inc.com
ADAPTILAB INC,Other,adaptilab.com,SEATTLE,WA,98104,(858) 386-8551,2018,7,"ALLEN CHEN LU, JAMES CHEN WU",YUVAL CHEN NEEMAN,1918990,1918990,Pre-Seed,04-06-2019,,,,,,contact@company.com; info@company.com
ADAPTILENS INC,Other Health Care,adaptilens.com,CHESTNUT HILL,MA,2467,(617) 680-6888,2024,1,Liane Clamen,"C. Gianna Luca, Jamie Goldstein, William Shea",16000000,16000000,Series A,24-04-2024,,,,,,contact@adaptilens.com
ADAPTILENS LLC,Other Health Care,adaptilens.com,CHESTNUT HILL,MA,2467,(617) 680-6888,2019,6,Liane Clamen,"Jamie Goldstein, John Andres, Robert Doris, Terry Kim, William Shea",1600000,1600000,Pre-Seed,28-03-2023,,,,,,contact@adaptilens.com
ADAPTX INC,Other Technology,adaptx.com,SEATTLE,WA,98103,(253) 260-3980,,,"Caitlin Cable, Christie Schofield, Daniel Low, Matthew Goos, Warren Ratliff","Christopher DeVore, Michael Butler, Stephen Bruso, YB Choi",14550000,4550000,Seed,15-09-2025,,,,,,info@adaptx.com
ADATAO INC,Other Technology,adatao.com,SUNNYVALE,CA,94085,(650) 308-8820,2013,12,Christopher Nguyen,,13452377,13452377,Series A,24-07-2014,,,,,,info@adatao.com
ADDEPAR INC,Other Technology,addepar.com,MOUNTAIN VIEW,CA,94041,,,,"Eric Poirier, Mitchell Bompey, Stephen Snyder","Joseph Lonsdale, Juan Sabater, Laurence Tosi",200000000,200000000,Series D+,07-06-2021,150,0,100,133000,"['Sr. Software Engineer', 'Product Designer', 'Product Management I', 'Software Engineer ', 'Test Automation Engineer']",marketing@addepar.com; pr@addepar.com; inquiries@addepar.com
ADDVANTAGE TECHNOLOGIES GROUP INC,Telecommunications,addvantage.com,CARROLLTON,TX,75007,(918) 251-9121,,,"Joseph E Hart, Michael A Rutledge",,3000000,3000000,Seed,07-04-2023,,,,,,russ@addvantage.com
ADDVOCATE INC,Other,addvocate.com,SAN FRANCISCO,CA,94105,(415) 233-8728,2012,13,"Henry Nothhaft, Jr., John Flynn, Michael Rudolph, Patricia Hume, Piers Cooper","Brian Lenz, Will Stewart",7197534,7197534,Series A,24-11-2014,,,,,,hello@addvocate.com
ADELAIDE METRICS INC,Other Technology,adelaidemetrics.com,NEW YORK,NY,10014,(732) 474-8373,2020,5,"Diane deCordova, Marc Guldimann, Tony Talal","Harmon Lyons, Joe Marchese",12480604,3000003,Pre-Seed,18-07-2024,,,,,,info@adelaidemetrics.com.; info@adelaidemetrics.com
ADG TECHNOLOGY INC,Other Technology,adg.com,BROOKLYN,NY,11230,(404) 618-2042,2018,7,Cordel Robbin-Coker,"Henry Lowenfels, Jackson Vaughan, Jackson Vaughn, Jori Pearsall, Lucy Parry, Pardon Makumbe",27849991,20000000,Series B,28-12-2021,,,,,,info@adg.com
ADHAWK INC,Other Technology,adhawk.ai,New York,NY,10011,(908) 233-7900,2015,10,"Daniel Pratt, Robert M. Saunders, Todd Saunders",Jay M. Levy,1529300,1529300,Pre-Seed,20-12-2016,,,,,,info@adhawkai.com
ADHOC STUDIO INC,Other,adhocstudio.com,LONG BEACH,CA,90802,(323) 810-2340,2020,5,"Michael Choung, Nicholas Herman, Pierre Dennis Shorette, Victor Dennis Lenart Jr.",Sebastien Dennis Tasserie,1000000,1000000,Pre-Seed,27-02-2025,,,,,,contact@adhocla.com; pr@adhocla.com
ADICET BIO INC,Biotechnology,adicetbio.com,NEW YORK,NY,10022,(310) 990-3832,2014,11,"Anne Altmeyer, Aya Jakobovits, Brian Hogan, Carrie Krehlik, Donald Santel, Francesco Galini, Nathan Hubbard, Steward Abbot, Stewart Abbot","Asish Xavier, Aya Jakobovits, Carl Gordon, Erez Chimovits, Florent Gros, Jonathan Silverstein, Michal Silverberg, Yair Schindel",177253596,80000000,Series C,25-07-2019,,,,,,info@adicetbio.com
ADIENT MEDICAL INC,Biotechnology,adientmedical.com,PEARLAND,TX,77584,(281) 925-2727,2012,13,"MITCHELL D. EGGERS, Mitchell Eggers","MICHAEL D. HOGAN, Michael Hogan, ROBERT D. TUCCI, Robert Mitchell, Robert Tucci",21814213,14314212,Series A,26-05-2022,,,,,,mitch.eggers@adientmedical.com
ADMAX LOCAL LLC,Other Technology,admaxlocal.com,MANHATTAN BEACH,CA,90266,(310) 365-3095,2015,10,David Hughes,,2800000,2800000,Pre-Seed,15-10-2015,,,,,,info@admaxlocal.com
ADMIIN INC,Business Services,admiin.com,CHICAGO,IL,60610,(872) 216-7276,2015,10,Michael Burdick,"Clara Sieg, David Golden, Eddie Lou, Paul Lee",4999998,4999998,Seed,16-02-2018,,,,,,hello@admiin.com; hello@sassbox.com
ADMITSEE LLC,Other Technology,admitsee.com,GREAT NECK,NY,11021,(516) 314-5657,2013,12,"Lydia P Fayal, Stephanie J Shyu",,1000000,1000000,Pre-Seed,01-07-2014,,,,,,info@admitsee.com
ADONA MEDICAL INC,Other Health Care,adonamedical.com,LOS GATOS,CA,95032,(408) 560-2500,2017,8,"BRIAN FAHEY, Brian Fahey","AMR SALAHIEH, Amr Salahieh, BIHUA CHEN, Bihua Chen, GAUTAM KAINTH, Gautam Kainth",99859998,35019999,Series A,27-06-2024,,,,,,info@adonamed.com
ADMITHUB INC,Other Technology,admithub.com,BOSTON,MA,2134,(617) 575-9369,2015,10,"ANDREW MAGLIOZZI, KIRK DAULERIO",KEVIN TALBOT,3356312,3356312,Seed,15-12-2016,,,,,,info@mainstay.com
ADONIS HOLDING GROUP INC,Other,adonis.com,GLOVERSVILLE,NY,12078,(631) 252-4377,2023,2,"Andrew George Kohl, Joseph George Hoenigmann, Michael George LaLuna, Phillip George Schiebe, Richard George Anonson",Ethan George Sigman,1250000,1250000,Pre-Seed,01-12-2023,,,,,,info@adonis.com
ADOREAL INC,Other,adoreal.com,CHICAGO,IL,60647,(563) 542-1418,2022,3,"Johan Andersson, Thomas Fuller",Johan Andersson,11015161,6000000,Pre-Seed,18-09-2024,,,,,,hello@adoreal.com
ADSTRUC INC,Other Technology,adstruc.com,NEW YORK,NY,10008,(646) 441-8484,2010,15,"John Laramie, Josh Warrum",,2000000,2000000,Seed,26-02-2014,,,,,,adstruc@vistarmedia.com; support@vistarmedia.com
ADTRIB INC,Other,adtrib.com,NEW YORK,NY,10011,(619) 250-6089,2013,12,Srinivas Prathipati,Nihal Mehta,1499999,1499999,Pre-Seed,05-12-2014,,,,,,team@maestroqa.com
ADULTING CHILDREN LLC,Other,adultingchildren.com,OAK PARK,IL,60302,(773) 707-8575,2023,2,"Angela Gaffney, Annika Marks, Richard Newey, Thomas Sadoski",,2000000,2000000,Pre-Seed,25-04-2023,,,,,,angie@521films.com; brittani@521films.com
ADVANCED IMAGE ROBOTICS INC,Other Technology,advancedimagerobotics.com,San Diego,CA,92122,(858) 775-3984,2022,3,Kevin McClave,,,,,,,,,,,info@advancedimagerobotics.com
ADVANCED PARTICLE THERAPY LLC,Hospitals and Physicians,advancedparticletherapy.com,SAN DIEGO,CA,92121,(858) 875-2661,,,"Casey L. Gilley, James L. Thomson, Jeffrey L. Bordok, Sarah L. Hutchinson","John L. Cravens, Robert L. Cochran",1000000,1000000,Pre-Seed,25-02-2015,,,,,,info@advancedparticletherapy.com
ADVANCED PHARMACY SOLUTIONS LLC,Pharmaceuticals,advancedpharmacy.com,OLYMPIA,WA,98502,(360) 705-0909,2015,10,"ALETA MILLER, JASON FURBUSH",,,,,,,,,,,Info@APSRemoteRx.com
ADVANCED SCANNERS INC,Other Technology,advancedscanners.com,Austin,TX,78757-1450,(512) 220-1005,,,"Aaron Bernstein, Douglas Fairbanks, Jeffrey Levine","Jonathan Black, Lon White",13657346,13657346,Seed,02-05-2023,,,,,,PartnerAPI@visievision.com; inquiries@visievision.com
ADVANCED SILICON GROUP INC,Other Technology,advancedsilicongroup.com,LOWELL,MA,1854,(954) 471-1357,,,"Marcie Black, William Rever","Alan Watson, Sarah Kelly",1100000,1100000,Pre-Seed,11-05-2021,,,,,,filler@godaddy.com
ADVANCED TELESENSORS INC,Other Technology,advancedtelesensors.com,Austin,TX,78728,(512) 852-8057,,,"Bruce Dravis, Eric Farrell, Sajol Ghoshal","Eric Farrell, Jack Syage, Jacob Jacobsson, Kirk Laney, Malcolm Cloyd",5689793,1400000,Pre-Seed,27-08-2021,,,,,,info@cardio.com; sales@cardio.io; support@cardio.io; jobs@cardio.io; info@cardio.io; marcomm@cardio.io
ADVISORENGINE INC,Other Technology,advisorengine.com,NEW YORK,NY,10013,(212) 858-0575,2015,10,"Craig Ramsey, Rich Cancro, Richard Cancro, Vladimir Baranov",,55000000,30000000,Series B,29-12-2017,,,,,,sdin@advisorengine.com
ADVISR INC,Other Technology,advisr.com,NEW YORK,NY,10017,(845) 304-7268,2017,8,"Enrique Nagle, Jesse Rohland, Peter Fernquist","Paul Olliver, Peter Fernquist, Walter McCormack, Will Price",9924984,5749984,Series A,17-12-2021,,,,,,hello@advisr.com
ADVOCATE INC,Other Technology,advocate.com,BROOKLYN,NY,11201,(855) 485-2111,2019,6,"Brandon Weber, Donald DeSantis",Kareem Zaki,19965002,19965002,Series B,19-10-2020,16,0,100,55000,['DIRECTOR OF BEST PRACTICES  - CBHC'],news@equalpride.com
ADVOCATE TECHNOLOGIES INC,Other,advocate.com,NEW YORK,NY,10012,(888) 505-3027,2020,5,Ashwin Agarwal,Ian Sheridan,10350000,8850000,Series A,13-04-2022,,,,,,news@equalpride.com
ADVOCATEMH INC,Other Health Care,advocatemh.com,BOSTON,MA,2130,(617) 651-0626,2025,0,"David Mou, Thomas Insel",,8000000,8000000,Series A,26-02-2025,,,,,,hello@advocatemh.com
AECOM,Other,aecom.com,Los Angeles,CA,90067,(213) 593-8501,,,"Daniel P. McQuade, Daniel R. Tishman, Frederick W. Werner, Gaurav C. Kapoor, Michael S. Burke","Clarence T. Schmitz, Douglas W. Stotlar, James H. Fordyce, Janet C. Wolfenbarger, William D. Frist",37619999,37619999,Series B,28-07-2017,,,,,,corey.zussman@aecom.com
ADYTON PBC,Other,adytonpbc.com,Frisco,TX,75034,(302) 284-8538,,,"James Alexander Boyd, Joshua James Wilson",Morgan James Hitzig,12823560,12823560,Series A,30-04-2025,,,,,,nfo@adytonpbc.com
AEQUUS SPORTS LLC,Other,aequussports.com,Seattle,WA,98112,(206) 777-5099,2022,3,Ryan James Harnetiaux,,24000000,15000000,Series B,15-05-2025,,,,,,ryan@aequussports.com
AERIZ HOLDINGS CORP,Other,aeriz.com,CHICAGO,IL,60631,(773) 840-0692,2020,5,"David Thomas, Harry Amsden, Vincent DiBenedetto",Vincent DiBenedetto,250000000,230000000,Series D+,30-06-2021,,,,,,info@aeriz.com
AERO DESIGN LABS LLC,Other,aerodesignlabs.com,FORT WORTH,TX,76118,(817) 589-2881,2018,7,Lee Sanders,,5005001,2005001,Pre-Seed,13-01-2020,,,,,,editor@aerodesignlabs.com
AERO TECHNOLOGIES INC,Other Travel,aerotechnologies.com,SAN FRANCISCO,CA,94107,(415) 650-2376,,,"Jon Gordon, Mikael Pelet, Uma Subramanian","Garrett Camp, John Rapaport, Roberto Sanabria",19999998,19999998,Series B,22-12-2020,,,,,,aerotech@aerotechnologies.com
AEROBOTICS7 INC,Other Technology,aerobotics7.com,SAN FRANCISCO,CA,94111,(415) 358-7111,2022,3,Harshwardhansinh Zala,"Urvashi Kikani, Vamsi Sistla",1250000,1250000,Pre-Seed,15-05-2025,,,,,,bd@aerobotics7.com; contactus@siliconadvisers.com; info@greyjuicelab.com
AERONES HOLDINGS INC,Other,aerones.com,SAN JOSE,CA,95103,(669) 213-8050,2025,0,"Dainis Kruze, Janis Putrams","Andris Berzins, Bala Nagarajan, Nigel McCleave, Paul Neal Jordan",62291832,62291832,Series C,15-05-2025,,,,,,info@aerones.com; sales@aerones.com
AERONES INC,Other,aerones.com,SAN JOSE,CA,95103,371 26279047,2018,7,DAINIS KRUZE,"ANDRIS BERZINS, JANIS PUTRAMS, NIGEL MCCLEAVE, PHILIPP GOEHRE",41410675,41410675,Series B,14-12-2022,,,,,,info@aerones.com; sales@aerones.com
AEROSPIKE INC,Other,aerospike.com,MOUNTAIN VIEW,CA,94043,(408) 462-2376,2009,16,"Brian Bulkowski, Joseph Gottlieb, Srini Srinivasan","Gilman Louie, Rohini Chakravarthy",19381539,19381539,Series B,20-06-2014,,,,,,jvonneumann@ias.edu
AERVIVO INC,Telecommunications,aervivo.com,San Diego,CA,92129,(425) 442-8543,2020,5,"Michael Hart, Nicholas Alexander","Dalton Wright, Robert Meade, Tanner Potter",24280395,2246836,Seed,22-08-2025,,,,,,contact@aervivo.com
AEROVEC INC,Other Energy,aerovec.com,EDEN,NY,14057,(716) 248-3200,2023,2,Julie Hetey,,1200000,1200000,Pre-Seed,06-04-2023,,,,,,info@aerovec.com
AESTHETICS360 INC,Other,aesthetics360.com,NORTH READING,MA,1864,(561) 906-9495,2024,1,Christopher Cabell,,2000000,2000000,Pre-Seed,13-08-2025,,,,,,contact@aesthethics360.com
AESCAPE INC,Other Technology,aescape.com,NEW YORK,NY,10011,(646) 760-6363,,,Eric Litman,"Eric Chin, John Lema, Jonathan Shulkin",34053716,34053716,Series B,14-11-2022,12,6,66.66666667,200000,"['Senior Engineering Manager, Robotics']",help@aescape.com; partnerships@aescape.com; info@aescape.com; social@aescape.com; communications@aescape.com
AERWAVE INC,Telecommunications,aerwave.com,Magnolia,TX,77354,(832) 521-3433,2022,3,"Alexander Wey, Daniel Jensen, Jeffrey Kok, Jeffrey Pennett","Constance Freedman, Robert Grosz, Stephanie Fuhrman",46435030,22111165,Series A,29-02-2024,,,,,,sales@aerwave.com; customerservice@aerwave.com
AETHER THERAPEUTICS INC,Biotechnology,aethertherapeutics.com,AUSTIN,TX,78756,(760) 783-3085,,,"John D Harris, Jon S Saxe","Eric K Olson, Wolfgang S Sadee",6580866,6580866,Seed,05-01-2024,,,,,,info@aetherthx.com
AFFICIENCY INC,Other Technology,afficiency.com,New York,NY,10281,(917) 328-6730,2016,9,"Mark Scafaro, Scafaro Mark","Maor Amar, Ravi Arasan, Richard Viton, Steve Gerber",11100000,7950000,Series A,21-03-2022,20,2,90.90909091,105000,['Software Data Architect'],Info@Afficiency.com; info@afficiency.com
AFFINITY EDGE INC,Other Technology,affinity-edge.com,LOS GATOS,CA,95033,(650) 564-4392,2013,12,Michael Hart,Michael Dearing,2000000,2000000,Pre-Seed,18-10-2013,,,,,,info@affinity-edge.com
AFFIRMED NETWORKS INC,Telecommunications,affirmednetworks.com,ACTON,MA,1720,(978) 268-0800,,,"Denis Cashman, George Hale, Hassan Ahmed","Cathy Graham, Jon Auerbach, Nael Kassar, Steven Elfman, Timothy Barrows",53018892,53018892,Series B,01-02-2019,,,,,,AN_Marketing@microsoft.com
AFTERLIFE AG INC,Other,afterlifeag.com,BROOKLYN,NY,11205,(617) 435-8489,2021,4,"Ryan Freed, Sierra Alea, Winson Wong",,2000000,2000000,Pre-Seed,21-02-2024,,,,,,winson@afterlifeag.com; winson@hellopeat.com
AGAINST GRAVITY CORP,Other Technology,against-gravity.com,Seattle,WA,98121,(314) 635-8471,2016,9,"Cameron Brown, Nicholas Fajt",,1000000,1000000,Pre-Seed,25-03-2016,,,,,,magdalena@against-gravity.com
AGENCYKPI INC,Other Technology,agencykpi.com,AUSTIN,TX,78746,(512) 518-1488,2018,7,"Bobby Billman, Trent Richmond",,4999998,4999998,Seed,04-02-2020,,,,,,help@agencykpi.com
AGAPE-1 TECHNOLOGY INC,Other Technology,agape-1.com,SAN JOSE,CA,95112,(408) 306-2033,2019,6,"David Yushan Fong, Howard Ching-Tien Ho",Rosemary Jung-Mei Wang,2000000,2000000,Pre-Seed,29-03-2024,,,,,,info@agape-1.com
AGENUS INC,Biotechnology,agenus.com,Lexington,MA,2421,(781) 674-4400,,,"Alex R. Duncan, Charles Evan Ballantyne, Christian R. Cortis, Christine Klaskin, Christine M. Klaskin, Christine R. Klaskin, Evan R. Kearns, Garo Armen, Garo H. Armen, Jennifer R. Buell, Karen H. Valentine, Karen Valentine, Ozer Baysal, Ozer Evan Baysal, Ozer M. Baysal, Ozer R. Baysal, Robert B. Stein, Robert M. Stein, Robert Stein","Allison R. Jeynes-Ellis, Brian Corvese, Brian H. Corvese, Brian M. Corvese, Shahzad H. Malik, Shahzad M. Malik, Shahzad Malik, Shahzad R. Malik, Shalini H. Sharp, Shalini Sharp, Timothy H. Wright, Timothy R. Wright, Timothy Wright, Tom Dechaene, Tom M. Dechaene, Tom R. Dechaene, Ulf H. Wiinberg, Wadih H. Jordan, Wadih Jordan, Wadih M. Jordan, Wadih R. Jordan",230682743,30000000,Series B,23-01-2019,,,,,,Sales@Agenus.com
AGHANIM INC,Other Technology,aghanim.com,WESTLAKE VILLAGE,CA,91361,(650) 630-6802,2023,2,"Albert Tugushev, Constantin Andry, Konstantin Golubitskii",,3000000,3000000,Pre-Seed,24-10-2023,,,,,,contact@aghanim.com
AGI PARTNERS LLC,Investing,agi.com,NEW YORK,NY,10022-2511,(212) 940-6642,2013,12,Shaun Gordon,,2200000,2200000,Pre-Seed,29-05-2013,,,,,,AnalyticalGraphics@agi.com
AGILE DEVICES INC,Other,agiledevices.com,NEWTON CENTRE,MA,2459,(617) 413-1733,,,Benjamin Merewitz,"Christopher Rich, Patrick Rivelli",6247500,1000000,Pre-Seed,19-12-2024,,,,,,info@agiledevices.com
AGILITY RETAIL HOLDINGS LLC,Other,agilityretail.com,SAN FRANCISCO,CA,94111,(415) 738-1200,2025,0,"David Mannix, Scott Potter","Andrew Poley, Nancy Splaine, Peter Stevens",83938000,3000000,Seed,06-08-2025,,,,,,info@agilityretail.com; info@agiliityretail.com
AGILITY RETAIL GROUP CORP,Other,agilityretail.com,MANSFIELD,MA,2048,(415) 738-1200,2023,2,"David Mannix, Peter Stevens, Scott Potter","Andrew Poley, Nancy Splaine",84740778,43610778,Series C,28-05-2024,,,,,,info@agilityretail.com; info@agiliityretail.com
AGINITY INC,Other Technology,aginity.com,EVANSTON,IL,60201,(888) 821-1201,2015,10,"Daniel Kuhn, Douglas Grimsted","Bryan Kelly, Paul Schaut",12000000,12000000,Series A,14-12-2015,,,,,,info@coginiti.co
AGINITY LLC,Other Technology,aginity.com,EVANSTON,IL,60201,(888) 821-1201,,,"Daniel J. Kuhn, Douglas M. Grimsted, Kevin R. Davis, Mike J. Blyth, Tzaras J. Christon",Ted J. Westerheide,3000000,3000000,Pre-Seed,24-12-2014,,,,,,info@coginiti.co
AGNETIX INC,Other,agnetix.com,SAN DIEGO,CA,92126,(833) 246-3849,2017,8,"Ihor Lys, Jordan Miles, Nicholas Maderas",John Soumbasakis,12446830,5000000,Pre-Seed,19-01-2021,,,,,,sales@agnetix.com
AGRAGENE INC,Other,agragene.com,SAN DIEGO,CA,92121,(858) 335-8120,2017,8,"Clyde Shores, Gordon Alton, Tracy Ellis","Carl Casale, David Webb, Robert Schmidt",7458759,7458759,Seed,13-08-2020,,,,,,info@agragene.com
AGRANI LABS INC,Other Technology,agranilabs.com,FREMONT,CA,94539,(650) 671-1221,2024,1,Dheemanth Nagaraj,"Srikanth Venkata Nimmagadda, Vinod Kumar Dham",8100000,8100000,Series A,03-06-2025,,,,,,contact@agranilabs.com
AGRI-TRAK INC,Other,agri-trak.com,WILLIAMSON,NY,14589,(585) 747-9532,2020,5,,Jamie Sonneville,1380000,1380000,Pre-Seed,14-04-2023,,,,,,info@agri-trak.com
AGRIFIBER HOLDINGS LLC,Manufacturing,agrifiber.com,MUNDELEIN,IL,60060,(847) 549-6002,2017,8,"Jonathan Kahn, Morris Garfinkle",,6625000,6625000,Series A,09-06-2017,,,,,,interested@domainmarket.com
AGRIFY CORP,Other,agrify.com,ROLLING MEADOWS,IL,60068,(617) 896-5243,2016,9,"Benjamin Kovler, Brad Asher, Mary Anne Squillace, Niv Krikov, Raymond Chang, Robert Harrison, Thomas R. Massie, Timothy R. Oakes","Armon Vakili, Gary Hua, Guichao Hua, Guichao R. Hua, Krishnan R. Varier, Krishnan Varier, Leonard R. Sokolow, Matt D. Liotta, Matthew S. Kressy, Max Holtzman, Nicholas Anne Cooper, Peter Shapiro, Sanjay Tolia, Stuart R. Wilcox, Stuart S. Wilcox, Thomas Massie, Timothy Mahoney, Timothy Oakes, Timothy R. Mahoney",90350000,30000000,Series B,22-05-2025,,,,,,IR@RYTHMinc.com
AGRIFUL SOFTWARE INC,Other Technology,agrifulsoftware.com,SAN FRANCISCO,CA,94117,(661) 268-4406,2022,3,"Deep Saran Singh Randhawa, Patrick Crowley",,4000000,4000000,Seed,29-04-2024,,,,,,info@agrifulsoftware.com; Info@agrifulsoftware.com
AGVEND INC,Other Technology,agvend.com,Austin,TX,78701,(877) 575-3575,2017,8,"Alexander M. Reichert, Eli M. Rosenberg","David M. Yuan, Drew M. Oetting",75640125,56991525,Series C,30-01-2025,,,,,,support@agvend.com
AHA PARTNERS LLC,Other,aha.io,CALISTOGA,CA,94515,(949) 463-3835,,,,"Adam Craun, Adriel Lares, Hayes Drumwright",2000000,2000000,Pre-Seed,01-03-2023,,,,,,support@aha.io
AI BUDDY INC,Other Technology,ai-buddy.com,SAN FRANCISCO,CA,94102,(650) 799-7927,,,Ivan Kryukov,,7000000,7000000,Seed,24-05-2024,,,,,,your_username@ai-buddy.com
AI FLEET INC,Other,aifleet.com,AUSTIN,TX,78701,(510) 717-4299,2020,5,Marc El Khoury,Nan Li,21000000,21000000,Series B,16-11-2021,,,,,,driverrecruiting@aifleet.com; info@aifleet.com
AI CLEARING INC,Other Technology,aiclearing.com,AUSTIN,TX,78752,(512) 537-5500,2019,6,Michal Mazur,"Adam Wisniewski, James McDougall, Jordan Viniar",12886160,12886160,Series A,28-08-2023,,,,,,name@company.com
AHS VENTURES,Other Health Care,ahs.com,CHULA VISTA,CA,91914,(619) 370-3922,2023,2,Emil Bundang,Leilani Ferrer,41000000,41000000,Series C,06-10-2023,,,,,,mediacenter@ahs.com
AI PROTEINS INC,Biotechnology,aiproteins.com,BOSTON,MA,2215,(617) 412-6117,2021,4,"Chris A. Bahl, Chris Bahl, Julia A. Novina, Marc A. Cohen, Noah Beerman, Wendy Dwyer","Bill A. McKee, Bobby Sandage, Bruce Evans, Carl A. Novina, Dominique A. Verhelle, Drew Dennison, Elena A. Prokupets, Geoff A. Meyerson, Malcolm Salter, Mark Alles, Todd Kaloudis",38205000,10000000,Seed,21-03-2024,4,0,100,100000,"['Investigator', 'Scientist I']",partnerships@aiproteins.com
AI OPTICS INC,Other Technology,aioptics.com,NEW YORK,NY,10016,(000) 000-0000,2020,5,Luke Moretti,Alexi Nazem,15538059,15538059,Series A,08-08-2025,,,,,,support@aioptics.cn; sales@aioptics.cn
AIDASH INC,Other,aidash.com,San Jose,CA,95128,(408) 703-1099,2019,6,Abhishek Vinod Singh,"Andre Vinod Turenne, David Vinod Mount, Rahul Vinod Saxena, Yashwanth Vinod Hemaraj",32999998,27000000,Series B,27-09-2021,12,0,100,130894,['Principal Engineer (Software)'],careers@aidash.com
